Time (s), Voltage (V), Current (A), SOC (%)
470, 3.37, 0.20, 3.20, 
471, 3.37, 0.20, 3.21, 
472, 3.37, 0.20, 3.21, 
473, 3.37, 0.20, 3.22, 
474, 3.36, 0.20, 3.23, 
475, 3.37, 0.20, 3.23, 
476, 3.37, 0.20, 3.24, 
477, 3.37, 0.20, 3.25, 
478, 3.37, 0.20, 3.25, 
479, 3.37, 0.20, 3.26, 
480, 3.37, 0.20, 3.27, 
481, 3.37, 0.20, 3.27, 
482, 3.37, 0.20, 3.28, 
483, 3.37, 0.20, 3.29, 
484, 3.37, 0.20, 3.29, 
485, 3.37, 0.20, 3.30, 
486, 3.37, 0.20, 3.31, 
487, 3.37, 0.20, 3.31, 
488, 3.38, 0.20, 3.32, 
489, 3.37, 0.20, 3.33, 
490, 3.38, 0.20, 3.33, 
491, 3.37, 0.20, 3.34, 
492, 3.37, 0.20, 3.35, 
493, 3.37, 0.20, 3.36, 
494, 3.37, 0.20, 3.36, 
495, 3.38, 0.20, 3.37, 
496, 3.38, 0.20, 3.38, 
497, 3.38, 0.20, 3.38, 
498, 3.38, 0.20, 3.39, 
499, 3.38, 0.20, 3.40, 
500, 3.38, 0.20, 3.40, 
501, 3.38, 0.20, 3.41, 
502, 3.38, 0.20, 3.42, 
503, 3.38, 0.20, 3.42, 
504, 3.38, 0.20, 3.43, 
505, 3.38, 0.20, 3.44, 
506, 3.38, 0.20, 3.44, 
507, 3.38, 0.20, 3.45, 
508, 3.38, 0.20, 3.46, 
509, 3.38, 0.20, 3.46, 
510, 3.38, 0.20, 3.47, 
511, 3.38, 0.20, 3.48, 
512, 3.38, 0.20, 3.48, 
513, 3.38, 0.20, 3.49, 
514, 3.38, 0.20, 3.50, 
515, 3.38, 0.20, 3.51, 
516, 3.38, 0.20, 3.51, 
517, 3.38, 0.20, 3.52, 
518, 3.38, 0.20, 3.53, 
519, 3.38, 0.20, 3.53, 
520, 3.38, 0.20, 3.54, 
521, 3.38, 0.20, 3.55, 
522, 3.38, 0.20, 3.55, 
523, 3.38, 0.20, 3.56, 
524, 3.38, 0.20, 3.57, 
525, 3.39, 0.20, 3.57, 
526, 3.39, 0.20, 3.58, 
527, 3.39, 0.20, 3.59, 
528, 3.39, 0.20, 3.59, 
529, 3.39, 0.20, 3.60, 
530, 3.39, 0.20, 3.61, 
531, 3.39, 0.20, 3.61, 
532, 3.39, 0.20, 3.62, 
533, 3.39, 0.20, 3.63, 
534, 3.39, 0.20, 3.63, 
535, 3.39, 0.20, 3.64, 
536, 3.39, 0.20, 3.65, 
537, 3.39, 0.20, 3.65, 
538, 3.39, 0.20, 3.66, 
539, 3.39, 0.20, 3.67, 
540, 3.39, 0.20, 3.67, 
541, 3.39, 0.20, 3.68, 
542, 3.40, 0.20, 3.69, 
543, 3.40, 0.20, 3.70, 
544, 3.39, 0.20, 3.70, 
545, 3.39, 0.20, 3.71, 
546, 3.39, 0.20, 3.72, 
547, 3.40, 0.20, 3.72, 
548, 3.39, 0.20, 3.73, 
549, 3.40, 0.20, 3.74, 
550, 3.40, 0.20, 3.74, 
551, 3.40, 0.20, 3.75, 
552, 3.39, 0.20, 3.76, 
553, 3.40, 0.20, 3.76, 
554, 3.40, 0.20, 3.77, 
555, 3.40, 0.20, 3.78, 
556, 3.40, 0.20, 3.78, 
557, 3.40, 0.20, 3.79, 
558, 3.40, 0.20, 3.80, 
559, 3.40, 0.20, 3.80, 
560, 3.40, 0.20, 3.81, 
561, 3.40, 0.20, 3.82, 
562, 3.40, 0.20, 3.82, 
563, 3.40, 0.20, 3.83, 
564, 3.40, 0.20, 3.84, 
565, 3.40, 0.20, 3.84, 
566, 3.40, 0.20, 3.85, 
567, 3.40, 0.20, 3.86, 
568, 3.40, 0.20, 3.87, 
569, 3.40, 0.20, 3.87, 
570, 3.40, 0.20, 3.88, 
571, 3.40, 0.20, 3.89, 
572, 3.40, 0.20, 3.89, 
573, 3.40, 0.20, 3.90, 
574, 3.40, 0.20, 3.91, 
575, 3.40, 0.20, 3.91, 
576, 3.40, 0.20, 3.92, 
577, 3.40, 0.20, 3.93, 
578, 3.40, 0.20, 3.93, 
579, 3.40, 0.20, 3.94, 
580, 3.40, 0.20, 3.95, 
581, 3.40, 0.20, 3.95, 
582, 3.41, 0.20, 3.96, 
583, 3.40, 0.20, 3.97, 
584, 3.41, 0.20, 3.97, 
585, 3.41, 0.20, 3.98, 
586, 3.40, 0.20, 3.99, 
587, 3.41, 0.20, 3.99, 
588, 3.41, 0.20, 4.00, 
589, 3.41, 0.20, 4.01, 
590, 3.41, 0.20, 4.01, 
591, 3.41, 0.20, 4.02, 
592, 3.41, 0.20, 4.03, 
593, 3.41, 0.20, 4.04, 
594, 3.41, 0.20, 4.04, 
595, 3.41, 0.20, 4.05, 
596, 3.41, 0.20, 4.06, 
597, 3.41, 0.20, 4.06, 
598, 3.41, 0.20, 4.07, 
599, 3.41, 0.20, 4.08, 
600, 3.41, 0.20, 4.08, 
601, 3.41, 0.20, 4.09, 
602, 3.41, 0.20, 4.10, 
603, 3.41, 0.20, 4.10, 
604, 3.41, 0.20, 4.11, 
605, 3.42, 0.20, 4.12, 
606, 3.42, 0.20, 4.12, 
607, 3.41, 0.20, 4.13, 
608, 3.42, 0.20, 4.14, 
609, 3.42, 0.20, 4.14, 
610, 3.42, 0.20, 4.15, 
611, 3.42, 0.20, 4.16, 
612, 3.42, 0.20, 4.16, 
613, 3.42, 0.20, 4.17, 
614, 3.41, 0.20, 4.18, 
615, 3.42, 0.20, 4.18, 
616, 3.42, 0.20, 4.19, 
617, 3.42, 0.20, 4.20, 
618, 3.42, 0.20, 4.21, 
619, 3.42, 0.20, 4.21, 
620, 3.42, 0.20, 4.22, 
621, 3.42, 0.20, 4.23, 
622, 3.42, 0.20, 4.23, 
623, 3.42, 0.20, 4.24, 
624, 3.42, 0.20, 4.25, 
625, 3.42, 0.20, 4.25, 
626, 3.42, 0.20, 4.26, 
627, 3.42, 0.20, 4.27, 
628, 3.42, 0.20, 4.27, 
629, 3.42, 0.20, 4.28, 
630, 3.42, 0.20, 4.29, 
631, 3.42, 0.20, 4.29, 
632, 3.42, 0.20, 4.30, 
633, 3.42, 0.20, 4.31, 
634, 3.42, 0.20, 4.31, 
635, 3.42, 0.20, 4.32, 
636, 3.42, 0.20, 4.33, 
637, 3.42, 0.20, 4.33, 
638, 3.43, 0.20, 4.34, 
639, 3.42, 0.20, 4.35, 
640, 3.42, 0.20, 4.35, 
641, 3.43, 0.20, 4.36, 
642, 3.43, 0.20, 4.37, 
643, 3.42, 0.20, 4.38, 
644, 3.43, 0.20, 4.38, 
645, 3.43, 0.20, 4.39, 
646, 3.43, 0.20, 4.40, 
647, 3.43, 0.20, 4.40, 
648, 3.43, 0.20, 4.41, 
649, 3.43, 0.20, 4.42, 
650, 3.43, 0.20, 4.42, 
651, 3.43, 0.20, 4.43, 
652, 3.43, 0.20, 4.44, 
653, 3.43, 0.20, 4.44, 
654, 3.43, 0.20, 4.45, 
655, 3.43, 0.20, 4.46, 
656, 3.43, 0.20, 4.46, 
657, 3.43, 0.20, 4.47, 
658, 3.43, 0.20, 4.48, 
659, 3.43, 0.20, 4.48, 
660, 3.43, 0.20, 4.49, 
661, 3.43, 0.20, 4.50, 
662, 3.43, 0.20, 4.50, 
663, 3.43, 0.20, 4.51, 
664, 3.43, 0.20, 4.52, 
665, 3.44, 0.20, 4.52, 
666, 3.43, 0.20, 4.53, 
667, 3.43, 0.20, 4.54, 
668, 3.43, 0.20, 4.55, 
669, 3.44, 0.20, 4.55, 
670, 3.44, 0.20, 4.56, 
671, 3.44, 0.20, 4.57, 
672, 3.43, 0.20, 4.57, 
673, 3.43, 0.20, 4.58, 
674, 3.43, 0.20, 4.59, 
675, 3.44, 0.20, 4.59, 
676, 3.44, 0.20, 4.60, 
677, 3.44, 0.20, 4.61, 
678, 3.44, 0.20, 4.61, 
679, 3.44, 0.20, 4.62, 
680, 3.44, 0.20, 4.63, 
681, 3.43, 0.20, 4.63, 
682, 3.44, 0.20, 4.64, 
683, 3.44, 0.20, 4.65, 
684, 3.44, 0.20, 4.65, 
685, 3.44, 0.20, 4.66, 
686, 3.44, 0.20, 4.67, 
687, 3.44, 0.20, 4.67, 
688, 3.44, 0.20, 4.68, 
689, 3.44, 0.20, 4.69, 
690, 3.44, 0.20, 4.69, 
691, 3.44, 0.20, 4.70, 
692, 3.44, 0.20, 4.71, 
693, 3.44, 0.20, 4.72, 
694, 3.44, 0.20, 4.72, 
695, 3.44, 0.20, 4.73, 
696, 3.44, 0.20, 4.74, 
697, 3.44, 0.20, 4.74, 
698, 3.44, 0.20, 4.75, 
699, 3.44, 0.20, 4.76, 
700, 3.44, 0.20, 4.76, 
701, 3.44, 0.20, 4.77, 
702, 3.44, 0.20, 4.78, 
703, 3.44, 0.20, 4.78, 
