Time (s), Voltage (V), Current (A), SOC (%)
368, 3.31, 0.58, 8.60, 
369, 3.31, 0.58, 8.62, 
370, 3.31, 0.58, 8.64, 
371, 3.31, 0.58, 8.66, 
372, 3.31, 0.58, 8.68, 
373, 3.31, 0.58, 8.70, 
374, 3.31, 0.58, 8.72, 
375, 3.31, 0.58, 8.74, 
376, 3.31, 0.58, 8.76, 
377, 3.31, 0.58, 8.79, 
378, 3.31, 0.58, 8.81, 
379, 3.31, 0.58, 8.83, 
380, 3.31, 0.58, 8.85, 
381, 3.31, 0.58, 8.87, 
382, 3.31, 0.58, 8.89, 
383, 3.31, 0.58, 8.91, 
384, 3.31, 0.58, 8.93, 
385, 3.31, 0.58, 8.95, 
386, 3.32, 0.58, 8.97, 
387, 3.31, 0.58, 8.99, 
388, 3.31, 0.58, 9.01, 
389, 3.31, 0.58, 9.03, 
390, 3.31, 0.58, 9.05, 
391, 3.31, 0.58, 9.07, 
392, 3.31, 0.58, 9.09, 
393, 3.31, 0.58, 9.11, 
394, 3.32, 0.58, 9.13, 
395, 3.31, 0.58, 9.15, 
396, 3.31, 0.58, 9.17, 
397, 3.32, 0.58, 9.19, 
398, 3.32, 0.58, 9.21, 
399, 3.32, 0.58, 9.23, 
400, 3.32, 0.58, 9.25, 
401, 3.32, 0.58, 9.27, 
402, 3.31, 0.58, 9.29, 
403, 3.32, 0.58, 9.31, 
404, 3.32, 0.58, 9.33, 
405, 3.31, 0.58, 9.35, 
406, 3.32, 0.58, 9.37, 
407, 3.31, 0.58, 9.39, 
408, 3.32, 0.58, 9.41, 
409, 3.31, 0.58, 9.43, 
410, 3.32, 0.58, 9.45, 
411, 3.32, 0.58, 9.47, 
412, 3.32, 0.58, 9.49, 
413, 3.32, 0.58, 9.51, 
414, 3.32, 0.58, 9.53, 
415, 3.32, 0.58, 9.55, 
416, 3.31, 0.58, 9.57, 
417, 3.32, 0.58, 9.59, 
418, 3.32, 0.58, 9.61, 
419, 3.31, 0.58, 9.63, 
420, 3.32, 0.58, 9.65, 
421, 3.32, 0.58, 9.67, 
422, 3.32, 0.58, 9.69, 
423, 3.31, 0.58, 9.71, 
424, 3.32, 0.58, 9.73, 
425, 3.32, 0.58, 9.75, 
426, 3.32, 0.58, 9.77, 
427, 3.32, 0.58, 9.79, 
428, 3.32, 0.58, 9.81, 
429, 3.32, 0.58, 9.83, 
430, 3.32, 0.58, 9.85, 
431, 3.32, 0.58, 9.87, 
432, 3.32, 0.58, 9.89, 
433, 3.32, 0.58, 9.91, 
434, 3.32, 0.58, 9.93, 
435, 3.32, 0.58, 9.95, 
436, 3.32, 0.58, 9.97, 
437, 3.32, 0.58, 9.99, 
438, 3.33, 0.58, 10.01, 
439, 3.32, 0.58, 10.03, 
440, 3.32, 0.57, 10.05, 
441, 3.32, 0.57, 10.07, 
442, 3.32, 0.58, 10.09, 
443, 3.32, 0.58, 10.11, 
444, 3.32, 0.58, 10.13, 
445, 3.33, 0.57, 10.15, 
446, 3.32, 0.57, 10.17, 
447, 3.32, 0.57, 10.19, 
448, 3.32, 0.57, 10.21, 
449, 3.33, 0.57, 10.23, 
450, 3.33, 0.57, 10.25, 
451, 3.33, 0.57, 10.27, 
452, 3.32, 0.57, 10.29, 
453, 3.32, 0.57, 10.31, 
454, 3.32, 0.57, 10.33, 
455, 3.33, 0.57, 10.35, 
456, 3.33, 0.57, 10.37, 
457, 3.32, 0.57, 10.39, 
458, 3.33, 0.57, 10.41, 
459, 3.32, 0.57, 10.43, 
460, 3.33, 0.57, 10.45, 
461, 3.32, 0.57, 10.47, 
462, 3.33, 0.57, 10.49, 
463, 3.33, 0.57, 10.51, 
464, 3.33, 0.57, 10.53, 
465, 3.32, 0.57, 10.55, 
466, 3.32, 0.57, 10.57, 
467, 3.33, 0.57, 10.59, 
468, 3.32, 0.57, 10.61, 
469, 3.32, 0.57, 10.63, 
470, 3.33, 0.57, 10.65, 
471, 3.33, 0.57, 10.67, 
472, 3.33, 0.57, 10.69, 
473, 3.32, 0.57, 10.71, 
474, 3.33, 0.57, 10.73, 
475, 3.33, 0.57, 10.75, 
476, 3.33, 0.57, 10.77, 
477, 3.33, 0.57, 10.79, 
478, 3.33, 0.57, 10.81, 
479, 3.33, 0.57, 10.83, 
480, 3.33, 0.57, 10.85, 
481, 3.33, 0.57, 10.87, 
482, 3.33, 0.57, 10.89, 
483, 3.34, 0.57, 10.91, 
484, 3.33, 0.57, 10.93, 
485, 3.33, 0.57, 10.95, 
486, 3.33, 0.57, 10.97, 
487, 3.33, 0.57, 10.99, 
488, 3.33, 0.57, 11.01, 
489, 3.33, 0.57, 11.03, 
490, 3.33, 0.57, 11.05, 
491, 3.33, 0.57, 11.07, 
492, 3.33, 0.57, 11.09, 
493, 3.34, 0.57, 11.11, 
494, 3.34, 0.57, 11.13, 
495, 3.33, 0.57, 11.15, 
496, 3.33, 0.57, 11.17, 
497, 3.33, 0.57, 11.19, 
498, 3.33, 0.57, 11.20, 
499, 3.34, 0.57, 11.22, 
500, 3.33, 0.57, 11.24, 
501, 3.33, 0.57, 11.26, 
502, 3.33, 0.57, 11.28, 
503, 3.33, 0.57, 11.30, 
504, 3.34, 0.57, 11.32, 
505, 3.33, 0.57, 11.34, 
506, 3.34, 0.57, 11.36, 
507, 3.33, 0.57, 11.38, 
508, 3.34, 0.57, 11.40, 
509, 3.33, 0.57, 11.42, 
510, 3.33, 0.57, 11.44, 
511, 3.33, 0.57, 11.46, 
512, 3.33, 0.57, 11.48, 
513, 3.33, 0.57, 11.50, 
514, 3.33, 0.57, 11.52, 
515, 3.34, 0.57, 11.54, 
516, 3.34, 0.57, 11.56, 
517, 3.33, 0.57, 11.58, 
518, 3.33, 0.56, 11.60, 
519, 3.34, 0.56, 11.62, 
520, 3.34, 0.56, 11.64, 
521, 3.34, 0.57, 11.66, 
522, 3.34, 0.57, 11.68, 
523, 3.34, 0.57, 11.70, 
524, 3.34, 0.56, 11.72, 
525, 3.34, 0.56, 11.74, 
526, 3.34, 0.56, 11.76, 
527, 3.34, 0.56, 11.78, 
528, 3.34, 0.56, 11.79, 
529, 3.34, 0.56, 11.81, 
530, 3.34, 0.56, 11.83, 
531, 3.34, 0.56, 11.85, 
532, 3.34, 0.56, 11.87, 
533, 3.34, 0.56, 11.89, 
534, 3.34, 0.56, 11.91, 
535, 3.34, 0.56, 11.93, 
536, 3.35, 0.56, 11.95, 
537, 3.34, 0.56, 11.97, 
538, 3.34, 0.56, 11.99, 
539, 3.34, 0.56, 12.01, 
540, 3.34, 0.56, 12.03, 
541, 3.35, 0.56, 12.05, 
542, 3.34, 0.56, 12.07, 
543, 3.34, 0.56, 12.09, 
544, 3.34, 0.56, 12.11, 
545, 3.34, 0.56, 12.13, 
546, 3.34, 0.56, 12.15, 
547, 3.35, 0.56, 12.17, 
548, 3.34, 0.56, 12.19, 
549, 3.35, 0.56, 12.21, 
550, 3.34, 0.56, 12.22, 
551, 3.34, 0.56, 12.24, 
552, 3.34, 0.56, 12.26, 
553, 3.35, 0.56, 12.28, 
554, 3.34, 0.56, 12.30, 
555, 3.35, 0.56, 12.32, 
556, 3.34, 0.56, 12.34, 
557, 3.35, 0.56, 12.36, 
